"agegp","alcgp","tobgp","ncases","ncontrols","cases_ratio"
30,20,5,0,40,0
30,20,15,0,10,0
30,20,25,0,6,0
30,20,30,0,5,0
30,60,5,0,27,0
30,60,15,0,7,0
30,60,25,0,4,0
30,60,30,0,7,0
30,100,5,0,2,0
30,100,15,0,1,0
30,100,30,0,2,0
30,120,5,0,1,0
30,120,15,1,1,50
30,120,25,0,1,0
30,120,30,0,2,0
40,20,5,0,60,0
40,20,15,1,14,6.66666666666667
40,20,25,0,7,0
40,20,30,0,8,0
40,60,5,0,35,0
40,60,15,3,23,11.5384615384615
40,60,25,1,14,6.66666666666667
40,60,30,0,8,0
40,100,5,0,11,0
40,100,15,0,6,0
40,100,25,0,2,0
40,100,30,0,1,0
40,120,5,2,3,40
40,120,15,0,3,0
40,120,25,2,4,33.3333333333333
50,20,5,1,46,2.12765957446809
50,20,15,0,18,0
50,20,25,0,10,0
50,20,30,0,4,0
50,60,5,6,38,13.6363636363636
50,60,15,4,21,16
50,60,25,5,15,25
50,60,30,5,7,41.6666666666667
50,100,5,3,16,15.7894736842105
50,100,15,6,14,30
50,100,25,1,5,16.6666666666667
50,100,30,2,4,33.3333333333333
50,120,5,4,4,50
50,120,15,3,4,42.8571428571429
50,120,25,2,3,40
50,120,30,4,4,50
60,20,5,2,49,3.92156862745098
60,20,15,3,22,12
60,20,25,3,12,20
60,20,30,4,6,40
60,60,5,9,40,18.3673469387755
60,60,15,6,21,22.2222222222222
60,60,25,4,17,19.047619047619
60,60,30,3,6,33.3333333333333
60,100,5,9,18,33.3333333333333
60,100,15,8,15,34.7826086956522
60,100,25,3,6,33.3333333333333
60,100,30,4,4,50
60,120,5,5,10,33.3333333333333
60,120,15,6,7,46.1538461538462
60,120,25,2,3,40
60,120,30,5,6,45.4545454545455
70,20,5,5,48,9.43396226415094
70,20,15,4,14,22.2222222222222
70,20,25,2,7,22.2222222222222
70,20,30,0,2,0
70,60,5,17,34,33.3333333333333
70,60,15,3,10,23.0769230769231
70,60,25,5,9,35.7142857142857
70,100,5,6,13,31.5789473684211
70,100,15,4,12,25
70,100,25,2,3,40
70,100,30,1,1,50
70,120,5,3,4,42.8571428571429
70,120,15,1,2,33.3333333333333
70,120,25,1,1,50
70,120,30,1,1,50
80,20,5,1,18,5.26315789473684
80,20,15,2,6,25
80,20,30,1,3,25
80,60,5,2,5,28.5714285714286
80,60,15,1,3,25
80,60,25,0,3,0
80,60,30,1,1,50
80,100,5,1,1,50
80,100,15,1,1,50
80,120,5,2,2,50
80,120,15,1,1,50
